theta1,theta2,gamma4,gamma1,gamma2,gamma3,l1
0.0,0.0,0.0,0.3924064447874245,0.8258473561867878,0.7808905274695624,230.05084491597358
0.0,0.0,0.05324733311169141,0.4023301852555701,0.8322307223574323,0.7947028199250573,228.7104047041509
0.0,0.0,0.10649466622338281,0.4128658974000951,0.838576511500482,0.8078777409664605,227.27902970133096
0.0,0.0,0.21298933244676563,0.43552475605165175,0.8508185616587566,0.8319006184635624,224.17455186968934
0.0,0.0,0.26623666555845704,0.44752100479804774,0.8565762564336241,0.8425825934138361,222.51804637239496
0.0,0.0,0.37273133178183987,0.47253514728489826,0.8671134983475439,0.8609988560801538,219.03919502185772
0.0,0.0,0.42597866489353126,0.4854342617773036,0.8718287904810638,0.8686646090095352,217.23374434340386
0.0,0.0,0.47922599800522264,0.49852030595437136,0.8761502234057457,0.8752790739576071,215.39516096773067
0.0,0.0,0.5324733311169141,0.511741496650677,0.880070488495039,0.8808393110689049,213.53120192388315
0.0,0.0,0.5857206642286055,0.5250494286652836,0.8835897402788501,0.8853516975242024,211.64923796248263
0.0,0.0,0.6389679973402969,0.5383990508754777,0.8867142488292247,0.8888302459909271,209.75622661248048
0.0,0.0,0.6922153304519882,0.5517485579294716,0.8894551597704013,0.8912950881922697,207.85870126987135
0.0,0.0,0.7454626635636797,0.5650592262614776,0.891827391496614,0.8927711500202637,205.9627724413708
0.0,0.0,0.7987099966753711,0.5782952169900464,0.8938486808977674,0.8932870239849121,204.0741377930792
0.0,0.0,0.8519573297870625,0.5914233626897896,0.8955387761289483,0.8928740309353767,202.198098258597
0.0,0.0,0.9052046628987539,0.6044129501281432,0.8969187671171441,0.8915654549272312,200.33957804299655
0.0,0.0,0.9584519960104453,0.6172355073871736,0.8980105398278702,0.8893959307879693,198.5031468918986
0.0,0.0,1.0116993291221368,0.629864600431532,0.8988363389691296,0.8864009632137243,196.69304341757461
0.0,0.0,1.0649466622338282,0.6422756422715208,0.8994184232208762,0.8826165564361904,194.91319864199946
0.0,0.0,1.1181939953455196,0.6544457160670577,0.8997787982327861,0.8780789354453352,193.16725918072345
0.0,0.0,1.171441328457211,0.6663534125324944,0.8999390139069312,0.8728243417964456,191.45860970179294
0.0,0.0,1.2246886615689023,0.6779786812564056,0.8999200141780386,0.8668888894097533,189.79039444190005
0.0,0.0,1.2779359946805937,0.6893026951130483,0.8997420291887317,0.8603084680488805,188.16553766715217
0.0,0.0,1.331183327792285,0.7003077267741581,0.8994245012636947,0.8531186841826663,186.58676303980442
0.0,0.0,1.3844306609039765,0.7109770361661057,0.8989860376128935,0.8453548308673808,185.05661189532415
0.0,0.0,1.437677994015668,0.7212947678144399,0.8984443838282581,0.8370518797729773,183.5774604651078
0.0,0.0,1.4909253271273595,0.7312458570001853,0.8978164134127309,0.8282444899092494,182.15153609087733
0.0,0.0,1.5441726602390509,0.7408159438485183,0.897118129362337,0.8189670286175784,180.78093248458023
0.0,0.0,1.5974199933507423,0.7499912945103161,0.8963646746692369,0.8092536013895426,179.46762408247216
0.0,0.0,1.6506673264624336,0.7587587288144059,0.8955703491200893,0.7991380877162952,178.21347953828425
0.0,0.0,1.703914659574125,0.7671055538802516,0.8947486302896833,0.7886541807802578,177.02027438970444
0.0,0.0,1.7571619926858164,0.775019503260587,0.893912197090873,0.7778354293045882,175.88970291943738
